id,x,y
5657,5.2185225,2.3939264
5812,5.4584627,2.443636
5750,5.2139664,2.394507
5880,5.201558,2.400919
5755,5.347253,2.4297543
5730,5.1666636,2.3798034
5631,5.216654,2.40229
5548,5.5175614,-3.6434379
5652,5.2127075,2.4014084
5497,4.917662,-3.3705747
5860,5.2096286,2.4071538
5544,6.2869725,-3.8414443
5532,9.820286,-7.2630057
5609,5.1678214,2.3528318
5874,6.6506634,-4.7350225
5774,4.978036,-3.4165874
5723,5.2183976,2.3958883
5898,5.212787,2.3863685
5842,5.197714,2.3873665
5686,5.2520537,2.3791013
5852,5.2058263,2.4053502
5488,4.8386774,-3.3350918
5836,7.4715047,-5.4054523
5934,5.205478,2.3817787
5724,5.5946107,-3.788609
5741,5.2749596,2.385786
5613,7.519063,-5.512611
5503,7.411681,-5.4039364
5614,5.204669,2.3716502
5434,5.1991057,2.3662257
5617,5.2131176,2.385825
5523,4.7643867,-3.2861855
5916,5.1110187,-3.3974168
5508,7.1798077,-5.0590177
5813,5.2031565,2.3897858
5511,5.132073,-3.474246
5522,7.1852765,-5.25734
5527,5.0895877,-3.4619703
5810,5.25693,2.3901408
5559,5.2532344,-3.488512
5478,5.0097094,-3.4571836
5643,5.2068987,2.3739927
5622,5.199424,2.3774533
5790,5.2121367,2.3852894
5818,5.3047714,2.373517
5781,4.9209666,-3.3359973
5681,5.195212,2.364179
5447,5.194256,-3.531707
5940,6.461401,2.9225993
5443,5.1024365,-3.4284241
5769,4.840958,-3.3151083
5847,5.478152,2.4276884
5515,5.554165,-3.6693718
5695,5.2178097,2.3862743
5843,5.232,2.3707013
5649,5.203366,2.4034278
5795,5.21048,2.3524837
5826,5.22387,2.3793533
5863,11.678157,9.512915
5902,7.5708113,-5.3913355
5518,7.4078307,-5.464207
5766,4.948974,-3.4393642
5920,5.0481114,-3.4972608
5634,8.12167,2.961858
5706,7.5378675,3.4345584
5456,7.6343594,-5.4877863
5637,7.440377,2.917883
5436,5.64235,2.5483754
5718,5.1526327,-3.4972413
5453,6.911021,-4.7253656
5765,5.2479806,-3.5096793
5693,6.2719626,2.7420402
5608,5.08562,-3.4895203
5853,8.512496,-6.079964
5767,4.8118396,-3.298753
5841,7.5707364,-5.520541
5831,5.4643216,2.4168332
5534,5.511982,2.41701
5923,6.704363,-4.637489
5804,5.8956246,2.528985
5775,5.079125,-3.462842
5725,7.099297,-4.9910493
5502,5.0732083,-3.4516945
5635,5.481907,2.4159396
5798,5.211688,2.3478525
5550,5.3279357,-3.5414221
5849,5.2081633,2.3506107
5563,5.043651,-3.4550986
5713,5.1852026,2.3463857
5431,5.1933703,2.3522966
5601,5.184958,-3.506088
5476,5.02162,-3.37281
5856,5.2527533,2.350431
5823,5.366401,2.3813052
5680,5.2136183,2.3612592
5784,5.219056,-3.5414143
5815,5.4011526,2.3605356
5735,5.229897,2.3572361
5709,5.325207,2.356744
5811,5.2383842,2.3679097
5432,5.18531,2.3643737
5571,6.0567093,-3.7538443
5444,5.0045485,-3.4528549
5572,7.3966303,-4.6585727
5740,5.240364,2.35932
5835,-16.152756,2.1301577
5708,8.049431,3.49984
5678,5.6808085,2.6937935
5876,8.022104,3.6701615
5796,6.8899302,3.0132158
5857,5.8080025,2.7770274
5564,7.0001707,-4.246799
5512,5.997543,-4.414292
5629,5.791274,2.6544476
5646,5.692653,2.7069266
5667,5.8793416,2.9758441
5731,5.907758,2.7496023
5653,5.563879,2.6441383
5529,5.3965273,-3.8517435
5751,5.4678535,2.573317
5936,5.6455746,-3.6957295
5668,5.585858,2.4533722
5556,5.7657137,-4.005852
5647,5.4471602,2.4568548
5862,5.4164886,2.5335402
5560,6.293211,-3.8556728
5607,5.3771615,-3.5476286
5673,5.6654754,2.5138738
5906,5.0372276,-3.5889037
5719,4.996653,-3.945665
5549,5.0661855,-3.471829
5821,5.4270396,2.4889991
5867,4.867632,-3.3738658
5487,4.9024267,-3.3719738
5782,4.8585997,-3.349749
5546,5.3778024,-3.6495018
5838,5.4227667,2.45468
5471,5.3704057,2.4170241
5914,5.371692,2.4196424
5694,5.470554,2.4275403
5606,7.2645283,-4.7844753
5738,5.450054,2.4650285
5553,5.528755,-3.8482914
5555,5.4494,-3.83209
5501,5.2673903,-3.6279762
5899,7.2640653,-5.30731
5756,5.310193,2.5037806
5794,5.396865,2.5099187
5905,5.566334,2.6426694
5664,5.379004,2.3862917
5449,5.3104258,-3.7735636
5864,5.3773394,2.3937526
5779,5.1450863,-3.4829917
5865,4.879618,-3.4357896
5493,6.5561857,-4.7156353
5482,5.1663027,-3.4097438
5716,5.374921,2.3988779
5490,5.3023534,-3.4950824
5816,5.37486,2.5167732
5561,5.6953297,-3.916023
5682,5.3748784,2.3904204
5760,5.2119823,-3.49168
5662,5.293347,2.503486
5539,5.5338244,-3.6629589
5587,5.2782006,-3.7995362
5687,5.420602,2.370998
5743,5.39614,2.5092516
5763,5.1743793,-3.5328794
5712,5.380776,2.5150838
5720,5.379341,2.5066679
5868,5.5291295,2.506393
5689,5.3020053,2.5001948
5808,5.168083,2.368317
5768,5.2686396,2.491539
5881,5.2690506,2.489182
5498,4.8550553,-3.3935437
5837,5.293406,2.4932268
5660,5.759582,2.7812395
5939,4.8361964,-3.3470116
5892,4.82042,-3.3393648
5869,4.7745643,-3.3515396
5604,5.063021,-3.4338706
5442,5.0535502,-3.5732539
5717,5.2291384,2.3565273
5626,5.2688494,2.5042984
5834,5.3769813,2.499726
5437,6.2280107,2.8689084
5582,5.3707056,-3.5654628
5875,4.9222236,-3.4066255
5699,5.283267,2.488974
5726,6.432461,-4.608601
5703,5.327217,2.5242012
5737,5.2993097,2.501344
5639,5.3942933,2.3740385
5554,4.7672086,-3.2974849
5896,5.2890005,2.48599
5621,5.2654424,2.4804227
5448,5.2538633,2.4878666
5879,5.278553,2.5075521
5915,7.4498453,-5.3935857
5570,5.0473747,-3.6216135
5895,4.815431,-3.3525934
5562,5.256126,-3.6574028
5734,5.6081038,2.501011
5787,4.8851876,-3.3877354
5932,5.241866,2.4703798
5462,4.9176946,-3.3996847
5753,5.2707734,2.5118036
5605,5.3019814,-3.65388
5866,4.7596397,-3.3003213
5894,5.2682,2.4438927
5470,4.759994,-3.351581
5510,4.961201,-3.4739869
5684,5.2158675,2.410929
5802,5.219199,2.429002
5494,8.363266,-6.1527195
5610,5.2100677,2.4644725
5789,4.8297415,-3.3954995
5788,12.4434805,7.852935
5513,5.1865,-3.4556487
5528,7.3925247,-5.017786
5674,5.1979814,2.4178522
5658,5.154489,-3.49996
5705,7.272491,3.8686006
5533,4.83555,-3.4006853
5616,7.090411,2.6798828
5536,5.0212975,-3.5172825
5577,4.9029436,-3.382324
5824,6.526387,2.684166
5486,7.4505816,-5.4651785
5883,7.027011,2.8933287
5671,6.089615,2.4622202
5558,5.104554,-3.6032388
5507,4.982666,-3.5747817
5887,5.8493004,2.4140937
