id,x,y
125,1.4490542,0.7918334
126,1.0995212,0.38813728
127,0.94740313,0.16337521
128,1.1586654,0.47390357
129,1.1094897,0.42842847
130,1.0629088,0.38250884
131,1.6380433,0.9894091
132,1.1119547,0.124702826
133,1.1220404,0.2835999
134,1.7339594,0.9838218
135,1.3976762,0.7860688
136,1.0236166,-0.19763741
137,1.5457569,0.7389209
138,1.4093201,0.52311647
139,1.2424426,0.72250926
140,1.0879563,0.47020337
141,1.3208953,0.55937463
142,1.3624536,0.6460637
143,1.2572623,0.5302633
144,1.0968505,0.53878963
145,1.2147399,0.5396178
146,0.92682695,-0.04880688
147,1.6869651,0.8931272
148,1.249015,0.30534714
149,1.3340535,0.69644076
150,0.95339787,0.3564724
151,0.94144446,-0.008089155
152,1.1780239,0.57032526
153,1.389121,0.7378804
154,1.0734891,0.37571597
155,1.2078453,0.39282024
156,1.5618075,0.9292766
157,1.1136395,-0.8272753
158,1.292174,0.6351044
159,1.2746333,0.5918187
160,1.469007,0.8288645
161,1.1228076,0.49399608
162,1.4319552,0.84703153
163,1.0899472,0.23708913
164,1.2680314,0.66857314
165,1.2434083,0.37396362
166,1.0810382,0.47498187
167,1.5256346,0.84714276
168,1.1509932,0.40044957
169,1.7774053,0.9275806
170,1.1009384,0.18406463
171,1.3237644,0.6294165
172,1.0810372,0.50606877
173,1.2758468,0.27987012
174,1.3757906,0.56565166
175,2.0229268,1.2941165
176,1.1373909,0.46895382
177,1.2409085,0.5140859
178,1.3946214,0.8310079
179,1.3211505,0.8335375
180,1.375562,0.6489018
181,1.2293717,0.681964
182,1.3539994,0.7434524
183,1.4566189,0.8914268
184,1.2312603,0.6205563
185,1.2376884,0.59034353
186,1.1004344,0.46250537
187,1.4763798,0.9146563
188,1.1161401,0.49201944
189,0.9739573,0.37406668
190,1.3757844,0.78941244
191,1.3779656,0.75388867
192,1.1579965,0.3288995
193,1.2422482,0.5440684
194,1.3079935,0.80464923
195,1.1836952,0.45875043
196,1.5123329,0.65267247
197,1.0690355,0.31354898
198,1.0269172,0.4323315
199,1.4666551,0.72893184
200,1.4250928,0.1630901
201,1.4734488,0.8609844
202,1.3934567,0.7567969
203,1.483151,0.89876866
204,1.2709981,0.13728689
205,1.1331501,0.65132856
206,1.4795614,0.52108306
207,1.5110185,1.0095993
208,0.9739586,0.18627763
209,1.2043757,0.4932137
210,1.1233488,0.32499948
211,1.1485103,0.559796
212,1.5976993,0.75594896
213,1.2865772,0.850452
214,1.1641269,0.4817948
215,1.3620086,0.6377858
216,1.470782,0.76854295
217,1.1701361,-0.18453541
218,1.1917486,0.5083849
219,1.3522631,0.65831393
220,1.0705236,0.16145964
221,1.0888768,0.3108918
222,1.160053,0.52063036
223,1.7094244,0.8578319
224,1.0747622,0.51264733
225,1.3252863,0.72135097
226,1.1318653,0.42150486
227,1.2012688,0.45045453
228,1.283704,0.7575115
229,1.2162243,0.6358449
230,1.7075838,0.8745071
231,0.9836261,0.16104658
232,1.3853326,0.72730446
233,1.140204,0.0948486
234,1.6559638,0.9082004
235,1.0849787,0.3063762
236,1.1084726,-1.003885
237,1.5936084,1.1596764
238,1.3354021,0.68379
239,1.0838646,0.53132135
240,1.7744769,0.88632166
241,1.1582967,0.3340742
242,1.4354748,0.6602271
243,1.3062117,0.3571533
244,0.9751162,-0.049807824
245,1.0584717,0.34948954
246,1.1385834,0.2579691
247,1.2106591,0.54594094
248,1.1378051,0.25970358
249,1.4004424,0.6156589
250,1.4391129,0.6299457
251,1.1572472,0.1608192
252,1.6270847,0.89609313
253,1.5396345,0.99890375
254,1.1170167,-0.27267903
255,1.4782495,0.7667413
256,1.0969173,0.31149396
257,1.6439974,0.90669423
258,1.0303981,0.22199784
259,1.3250703,0.49376503
260,1.300711,0.5176369
261,1.5198106,0.7472578
262,1.2457587,-1.0195894
263,1.6807854,0.92434615
264,1.1328049,0.46783704
265,0.99667484,0.2698693
266,1.0280561,0.29894075
267,1.1810893,0.40973583
268,1.3823096,0.7496278
269,1.1940155,0.7162301
270,1.3514817,0.8197148
271,1.4007133,0.53064513
272,1.6258668,0.9740858
273,1.8945997,1.2101176
274,1.1474961,0.40395388
275,1.3099418,0.59759134
276,1.5754931,0.77279276
277,1.5249763,0.84226096
278,1.2575442,0.53492314
279,1.3071574,0.88677925
280,1.4151354,0.92265445
281,1.5106066,0.8470681
282,1.6748743,0.88329095
283,1.5602114,0.80707633
284,0.9306691,0.17061472
285,1.5718656,0.97888297
286,1.1893075,0.3996926
287,1.729616,1.0723752
288,1.2243582,0.25281787
289,1.5998316,0.86665225
290,1.8937652,1.1810081
291,1.0205072,0.29818538
292,1.0850202,0.52819574
293,1.3290136,0.58982927
294,1.2175317,0.54315174
295,1.2999723,0.8036065
296,1.2347661,0.60272473
297,1.2108457,0.6124381
298,1.870544,1.3822081
299,0.9423665,0.65686774
300,0.89355904,0.20602112
301,1.4266123,0.7773436
302,0.9272033,0.48156655
303,1.478914,0.91252637
304,1.2561083,0.55576384
305,1.4323063,0.8928813
306,1.4487679,0.9972912
307,0.9459955,0.2332215
308,1.4349384,0.87614095
309,1.1623989,0.4384994
310,1.048173,0.18064536
311,1.4079831,0.68832344
312,1.2718445,0.83973503
313,1.0866319,-0.4410608
314,1.1645008,0.50311047
315,1.1720556,0.62966305
316,1.4327189,0.9232728
317,1.0318277,0.40963995
318,1.2157366,0.58847165
319,1.1579548,0.63085383
320,1.8543851,0.9450053
321,1.3827367,0.80751485
